home_team,away_team,result,home_lineup,away_lineup
Fulham,Queens Park Rangers,home,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris Baird - Zdenek Grygera - Steve Sidwell - Danny MurphyPen. Scored - Clint Dempsey - Andrew Johnson   - Bobby Zamora - Mousa Dembélé - ,Paddy Kenny - Bradley Orr - Fitz Hall - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin - Jay Bothroyd - 
Swansea City,Stoke City,home,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Nathan Dyer - Wayne Routledge - Joe Allen - Mark Gower - Danny Graham - Scott SinclairPen. Scored - ,Asmir Begovic - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Dean Whitehead - Rory Delap - Jonathan Walters - Peter Crouch - 
Tottenham Hotspur,Arsenal,home,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart  - Gareth Bale - Luka Modric - Emmanuel Adebayor - Jermain Defoe - ,Wojciech Szczesny - Kieran Gibbs - Bacary Sagna - Per Mertesacker - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Francis Coquelin - Robin van Persie - Gervinho - 
Chelsea,Everton,home,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires - Frank Lampard - John Obi Mikel - Juan Mata - Didier Drogba - Daniel Sturridge  - ,Tim Howard - Tony Hibbert - Leighton Baines - Phil Jagielka - Sylvain Distin - Jack Rodwell - Tim Cahill - Leon Osman - Séamus Coleman - Marouane Fellaini - Louis Saha - 
Liverpool,Manchester United,tie,Pepe Reina - José Enrique - Jamie Carragher - Martin Kelly - Martin Skrtel - Steven Gerrard - Dirk Kuyt - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - ,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Jonny Evans - Chris Smalling - Ryan Giggs - Park Ji-Sung - Ashley Young - Darren Fletcher - Danny Welbeck - 
Manchester City,Aston Villa,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - James Milner - Adam Johnson - Gareth Barry - Nigel de Jong - Yaya Touré - Mario Balotelli - ,Shay Given - Stephen Warnock - Richard Dunne - Ciaran Clark - Alan Hutton - Fabian Delph - Stiliyan Petrov - Stephen Ireland - Gabriel Agbonlahor - Emile Heskey - Darren Bent - 
Norwich City,Swansea City,home,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington  - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - ,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Wayne Routledge - Joe Allen - Danny Graham - Scott Sinclair - 
Queens Park Rangers,Blackburn Rovers,tie,Paddy Kenny - Armand Traore - Fitz Hall - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - ,Paul Robinson - Míchel Salgado - Martin Olsson - Christopher Samba - Scott Dann - Gaël Givet - Jason Lowe - Radosav Petrovic - Steven Nzonzi - David Junior Hoilett - Jason Roberts - 
Stoke City,Fulham,home,Asmir Begovic - Marc Wilson - Ryan Shawcross - Matt Upson - Andy Wilkinson - Glenn Whelan - Jermaine Pennant - Rory Delap  - Matthew Etherington - Jonathan Walters - Peter Crouch - ,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris Baird - Aaron Hughes - Steve Sidwell - Danny Murphy - Clint Dempsey - Andrew Johnson - Bobby Zamora - Mousa Dembélé - 
Wigan Athletic,Bolton Wanderers,away,Ali Al Habsi - Steve Gohouri - Antolín Alcaraz - Gary CaldwellOwn   - Emmerson Boyce - James McCarthy - David Jones - Ben Watson - Victor Moses - Mohamed Diamé - Franco Di Santo - ,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Dedryck Boyata - David Wheater - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Darren Pratley - David N'Gog - Kevin Davies - 
Arsenal,Sunderland,home,Wojciech Szczesny - Kieran Gibbs - Per Mertesacker - Laurent Koscielny - Carl Jenkinson - Tomas Rosicky - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie   - Gervinho - ,Simon Mignolet - Michael Turner - Wes Brown - John O'Shea - Lee Cattermole - Sebastian Larsson  - Kieran Richardson - Jack Colback - David Vaughan - Ahmed El Mohamady - Stéphane Sessegnon - 
Newcastle United,Tottenham Hotspur,tie,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Leon Best - ,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Rafael van der VaartPen. Scored - Gareth Bale - Luka Modric - Jake Livermore - Emmanuel Adebayor - 
West Bromwich Albion,Wolverhampton Wanderers,home,Ben Foster - Jonas Olsson - Gareth McAuley - Billy Jones - Steven Reid - Somen Tchoyi - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Shane Long - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Matthew Jarvis - Adam Hammill - Nenad Milijas - Jamie O'Hara - Kevin Doyle - 
Aston Villa,West Bromwich Albion,away,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Chris Herd - Stiliyan Petrov - Charles N'Zogbia - Barry Bannan - Gabriel Agbonlahor - Darren BentPen. Scored - ,Ben Foster - Jonas Olsson - Gareth McAuley - Billy Jones - Steven Reid - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Paul Scharner  - Shane Long - Peter Odemwingie - 
Bolton Wanderers,Sunderland,away,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Dedryck Boyata - David Wheater - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Darren Pratley - David N'Gog - Kevin Davies - ,Simon Mignolet - Michael Turner - Wes Brown - John O'Shea - Sebastian Larsson - Kieran Richardson - Jack Colback - David Vaughan - Stéphane Sessegnon  - Connor Wickham - Nicklas Bendtner - 
Liverpool,Norwich City,tie,Pepe Reina - Glen Johnson - José Enrique - Jamie Carragher - Martin Skrtel - Steven Gerrard - Dirk Kuyt - Stewart Downing - Charlie Adam - Luis Suárez - Craig Bellamy - ,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - 
Newcastle United,Wigan Athletic,home,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye  - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Leon Best - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Emmerson Boyce - Maynor Figueroa - David Jones - Albert Crusat - Ben Watson - Victor Moses - Mohamed Diamé - Hugo Rodallega - 
Wolverhampton Wanderers,Swansea City,tie,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Matthew Jarvis - Adam Hammill - Jamie O'Hara  - Sylvan Ebanks-Blake - Kevin Doyle - ,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Mark Gower - Danny Graham - Scott Sinclair - 
Arsenal,Stoke City,home,Wojciech Szczesny - Per Mertesacker - Laurent Koscielny - André Santos - Johan Djourou - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Gervinho - Marouane Chamakh - ,Asmir Begovic - Marc Wilson - Ryan Shawcross - Matt Upson - Andy Wilkinson - Glenn Whelan - Dean Whitehead - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - 
Blackburn Rovers,Tottenham Hotspur,away,Paul Robinson - Martin Olsson - Christopher Samba - Gaël Givet - Jason Lowe - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Simon Vukcevic - Mauro Formica - Jason Roberts - ,Brad Friedel - Kyle Walker - Younes Kaboul - Sebastien Bassong - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart  - Gareth Bale - Luka Modric - Emmanuel Adebayor - 
Fulham,Everton,away,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris Baird - Zdenek Grygera - Steve Sidwell - Danny Murphy - Clint Dempsey - Andrew Johnson - Bobby Zamora - Mousa Dembélé - ,Tim Howard - Tony Hibbert - Leighton Baines - Phil Jagielka - Sylvain Distin - Jack Rodwell - Royston Drenthe - Phil Neville - Leon Osman - Marouane Fellaini - Apostolos Vellios - 
Manchester United,Manchester City,away,David de Gea - Patrice Evra - Rio Ferdinand - Jonny Evans - Chris Smalling - Anderson - Nani - Ashley Young - Darren Fletcher - Wayne Rooney - Danny Welbeck - ,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - James Milner - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Mario Balotelli   - 
Queens Park Rangers,Chelsea,home,Paddy Kenny - Fitz Hall - Clint Hill - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin - Heidar HelgusonPen. Scored - ,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Frank Lampard - John Obi Mikel - Raul Meireles - Juan Mata - Didier Drogba - Daniel Sturridge - 
Chelsea,Arsenal,away,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires - Frank Lampard - John Obi Mikel - Fernando Torres - Juan Mata - Daniel Sturridge - ,Wojciech Szczesny - Per Mertesacker - Laurent Koscielny - André Santos - Johan Djourou - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie    - Gervinho - 
Everton,Manchester United,away,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Diniyar Bilyaletdinov - Jack Rodwell - Leon Osman - Séamus Coleman - Marouane Fellaini - Louis Saha - ,David de Gea - Patrice Evra - Phil Jones - Jonny Evans - Nemanja Vidic - Park Ji-Sung - Tom Cleverley - Darren Fletcher - Wayne Rooney - Chicharito - Danny Welbeck - 
Manchester City,Wolverhampton Wanderers,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Aleksandar Kolarov - Samir Nasri - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Edin Dzeko  - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - David Edwards - Karl Henry - Stephen Ward - Stephen HuntPen. Scored - Jamie O'Hara - Adlène Guédioura - Kevin Doyle - 
Norwich City,Blackburn Rovers,tie,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - ,Paul Robinson - Martin Olsson - Christopher Samba - Gaël Givet - Jason Lowe - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Rubén Rochina - Yakubu - 
Sunderland,Aston Villa,tie,Simon Mignolet - Michael Turner - Wes Brown - John O'Shea - Sebastian Larsson - Kieran Richardson - Jack Colback - David Vaughan - Stéphane Sessegnon - Connor Wickham - Nicklas Bendtner - ,Shay Given - Stephen Warnock - Richard Dunne  - James Collins - Alan Hutton - Chris Herd - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey - Darren Bent - 
Swansea City,Bolton Wanderers,home,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Mark Gower - Danny GrahamOwn   - Scott SinclairPen. Scored - ,Jussi Jääskeläinen - Grétar Steinsson - Gary Cahill - David Wheater - Chris Eagles - Martin Petrov - Ricardo Gardner  - Mark Davies - Nigel Reo-Coker - Darren Pratley - David N'Gog - 
West Bromwich Albion,Liverpool,away,Ben Foster - Jonas Olsson - Gareth McAuley - Billy Jones - Steven Reid - Somen Tchoyi - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Peter Odemwingie - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Stewart Downing - Lucas Leiva - Charlie AdamPen. Scored - Luis Suárez - Andy Carroll - 
Wigan Athletic,Fulham,away,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Emmerson Boyce - Maynor Figueroa - David Jones - Albert Crusat - Ben Watson - Victor Moses - Mohamed Diamé - Hugo Rodallega - ,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris Baird - Zdenek Grygera - Steve Sidwell - Danny Murphy - Clint Dempsey - Andrew Johnson - Bobby Zamora - Mousa Dembélé  - 
Tottenham Hotspur,Queens Park Rangers,home,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Gareth Bale  - Luka Modric - Emmanuel Adebayor - ,Paddy Kenny - Armand Traore - Fitz Hall - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin - Heidar Helguson - 
Stoke City,Newcastle United,away,Asmir Begovic - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Rory Delap - Matthew Etherington - Jonathan WaltersPen. Scored - Peter Crouch - ,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Yohan Cabaye - Ryan Taylor - Danny Guthrie - Gabriel Obertan - Jonás Gutiérrez - Demba Ba  Pen. Scored - Leon Best - 
Arsenal,West Bromwich Albion,home,Wojciech Szczesny - Thomas Vermaelen - Laurent Koscielny - André Santos - Carl Jenkinson - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie - Gervinho - ,Ben Foster - Jonas Olsson - Gareth McAuley - Billy Jones - Steven Reid - James Morrison - Chris Brunt - Jerome Thomas - Graham Dorrans - Zoltán Gera - Simon Cox - 
Aston Villa,Norwich City,home,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Chris Herd - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey - Darren Bent  - ,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington  - Wes Hoolahan - Elliott Bennett - Grant Holt - Steve Morison - 
Blackburn Rovers,Chelsea,away,Paul Robinson - Martin Olsson - Christopher Samba - Gaël Givet - Jason Lowe - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Rubén Rochina - Yakubu - ,Petr Cech - Branislav Ivanovic - Ashley Cole - John Terry - Alex - Ramires - Frank Lampard - John Obi Mikel - Florent Malouda - Juan Mata - Daniel Sturridge - 
Liverpool,Swansea City,tie,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - Andy Carroll - ,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Wayne Routledge - Joe Allen - Mark Gower - Danny Graham - 
Manchester United,Sunderland,home,Anders Lindegaard - Patrice Evra - Phil Jones - Rio Ferdinand - Nemanja Vidic - Park Ji-Sung - Nani - Darren Fletcher - Wayne Rooney - Chicharito - Danny Welbeck - ,Keiren Westwood - Phil Bardsley - Michael Turner - Wes BrownOwn  - Lee Cattermole - Sebastian Larsson - Kieran Richardson - Jack Colback - Stéphane Sessegnon - Connor Wickham - Nicklas Bendtner - 
Newcastle United,Everton,home,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Yohan Cabaye - Ryan Taylor  - Danny Guthrie - Jonás Gutiérrez - Sylvain Marveaux - Demba Ba - Leon Best - ,Tim Howard - Tony Hibbert - Leighton Baines - John HeitingaOwn   - Phil Jagielka - Jack Rodwell - Royston Drenthe - Phil Neville - Leon Osman - Séamus Coleman - Louis Saha - 
Queens Park Rangers,Manchester City,away,Paddy Kenny - Armand Traore - Danny Gabbidon - Luke Young - Anton Ferdinand - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - Jay Bothroyd - ,Joe Hart - Micah Richards - Joleon Lescott - Aleksandar Kolarov - Stefan Savic - James Milner - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Edin Dzeko - 
Bolton Wanderers,Stoke City,home,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Joe Riley - David Wheater - Fabrice Muamba - Chris Eagles  - Mark Davies - Nigel Reo-Coker - Kevin Davies - Ivan Klasnic  - ,Asmir Begovic - Robert Huth - Matt Upson - Andy Wilkinson - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Rory Delap - Jonathan Walters - Peter Crouch - Cameron Jerome - 
Fulham,Tottenham Hotspur,away,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris BairdOwn  - Zdenek Grygera - Steve Sidwell - Danny Murphy - Damien Duff - Clint Dempsey - Bobby Zamora - Mousa Dembélé - ,Brad Friedel - Kyle Walker - Younes KaboulOwn   - Ledley King - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Luka Modric - Emmanuel Adebayor - 
Wolverhampton Wanderers,Wigan Athletic,home,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - David Edwards - Karl Henry - Stephen Ward - Stephen Hunt - Jamie O'Hara  - Adlène Guédioura - Kevin Doyle - ,Ali Al Habsi - Steve Gohouri - Antolín Alcaraz - Emmerson Boyce - Maynor Figueroa - David Jones - Ben Watson - Victor Moses - Mohamed Diamé - Franco Di Santo - Hugo Rodallega - 
Everton,Wolverhampton Wanderers,home,Tim Howard - Tony Hibbert - Leighton BainesPen. Scored  - John Heitinga - Phil Jagielka - Royston Drenthe - Tim Cahill - Leon Osman - Séamus Coleman - Marouane Fellaini - Louis Saha - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - David Edwards - Karl Henry - Stephen Ward - Stephen HuntPen. Scored  - Nenad Milijas - Jamie O'Hara - Kevin Doyle - 
Norwich City,Arsenal,away,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Andrew Crofts - Anthony Pilkington - Wes Hoolahan - David Fox - Steve Morison - ,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - André Santos - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie  - Gervinho - 
Stoke City,Queens Park Rangers,away,Thomas Sørensen - Danny Higginbotham - Robert Huth - Ryan Shawcross  - Andy Wilkinson - Jermaine Pennant - Dean Whitehead - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - ,Paddy Kenny - Armand Traore - Danny Gabbidon - Clint Hill - Luke Young - Anton Ferdinand - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Heidar Helguson   - 
Sunderland,Fulham,tie,Keiren Westwood - Phil Bardsley - Michael Turner - Wes Brown - John O'Shea - Lee Cattermole - Kieran Richardson - Jack Colback - Ahmed El Mohamady - Stéphane Sessegnon - Nicklas Bendtner - ,Mark Schwarzer - Philippe Senderos - Brede Hangeland - Chris Baird - Aaron Hughes - Danny Murphy - Damien Duff - Dickson Etuhu - Clint Dempsey - Bobby Zamora - Mousa Dembélé - 
Swansea City,Manchester United,away,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Wayne Routledge - Mark Gower - Danny Graham - Scott Sinclair - ,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Nemanja Vidic - Ryan Giggs - Park Ji-Sung - Michael Carrick - Nani - Wayne Rooney - Chicharito - 
West Bromwich Albion,Bolton Wanderers,home,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - James Morrison - Chris Brunt - Jerome Thomas  - Youssouf Mulumbu - Zoltán Gera - Shane Long - ,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Joe Riley - David Wheater - Fabrice Muamba - Chris Eagles - Mark Davies - Nigel Reo-Coker - Kevin Davies - Ivan KlasnicPen. Scored - 
Wigan Athletic,Blackburn Rovers,tie,Ali Al Habsi - Steve Gohouri - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses - Jordi Gómez  - Mohamed Diamé - Conor Sammon - ,Paul Robinson - Míchel Salgado - Grant Hanley - Scott Dann - Gaël Givet - David Dunn  - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Rubén Rochina - Yakubu Pen. Scored - 
